timestamp,id,num,d0,d1,d2,d3,d4,d5,d6,d7
0.988567288,220,8,fd,03,e7,03,9f,01,c1,0f
0.989647097,316,8,45,18,b6,0c,18,10,00,00
0.990711082,153,8,00,80,10,ff,00,ff,00,00
0.991763521,440,8,ff,a0,00,00,ff,d0,0b,00
0.992814677,545,8,e4,12,00,88,91,00,8e,00
0.993868827,4F0,8,80,00,00,00,00,c5,bc,14
0.994922976,260,8,16,19,00,30,00,65,00,00
0.995973277,59B,8,00,00,00,00,00,00,00,c4
0.99705394,220,8,fd,03,f5,03,9f,01,c1,0f
0.998116215,350,8,15,13,23,83,88,00,00,2e
0.999166943,2A0,8,00,00,6a,00,00,00,00,00
1.000221521,1F1,8,00,00,00,00,00,00,00,00
1.001267545,545,8,e4,12,00,89,8d,00,92,00
1.002305871,220,8,ff,03,e5,03,9a,01,c7,0f
1.003264656,350,8,15,13,33,83,88,00,00,3e
1.004228144,545,8,e4,12,00,89,91,00,92,00
1.005525197,220,8,ff,03,e5,03,9f,01,c7,0f
1.006412136,316,8,45,19,ae,0c,19,10,00,00
1.007371348,43F,8,00,40,60,ff,54,c8,0b,00
1.008281809,545,8,e4,12,00,88,91,00,92,00
1.009161906,153,8,00,80,10,ff,00,ff,00,00
1.010032595,2A0,8,00,00,6a,00,00,00,00,00
1.010911409,43F,8,00,40,60,ff,54,c0,0b,00
1.011790223,545,8,dc,12,00,89,91,00,91,00
1.012667327,220,8,fa,03,f4,03,9f,01,c1,0f
1.013649204,316,8,45,19,b0,0c,19,10,00,00
1.014519038,545,8,dc,12,00,89,91,00,91,00
1.015395286,1F1,8,00,00,00,00,00,00,00,00
1.01627239,4F0,8,80,00,00,00,00,c5,bc,14
1.017147355,153,8,00,80,10,ff,00,ff,00,00
1.018036861,545,8,e4,12,00,89,90,00,92,00
1.019008902,153,8,00,80,10,ff,00,ff,00,00
1.019924922,220,8,ff,03,ea,03,9f,01,c7,0f
1.020783637,2B0,5,c4,ff,00,07,1e,00,00,00
1.02214783,545,8,e4,12,00,89,90,00,97,00
1.023202835,1F1,8,00,00,00,00,00,00,00,00
1.024255702,4F0,8,80,00,00,00,00,c5,bc,14
