time,type,id,num,d0,d1,d2,d3,d4,d5,d6,d7
1.200737434,0,2B0,5,d9,ff,00,07,9a,00,32,00
1.202264133,0,220,8,fd,03,ea,03,00,00,cd,0f
1.20326782,0,4F0,8,80,00,00,00,00,63,c6,14
1.204209499,0,329,8,40,72,7f,90,49,20,00,14
1.205148183,0,4D0,8,00,ff,fa,00,00,00,00,00
1.206090717,0,350,8,27,13,f3,7f,80,00,00,38
1.20703154,0,220,8,fd,03,ec,03,00,00,da,0f
1.207971508,0,545,8,dc,13,00,89,31,00,32,00
1.20890891,0,440,8,ff,50,00,00,ff,7c,0c,00
1.209851871,0,220,8,fd,03,f5,03,00,00,da,0f
1.210790128,0,18F,8,fe,4c,1a,00,00,56,00,00
1.211727103,0,153,8,00,80,10,ff,00,ff,00,00
1.212668353,0,350,8,27,13,13,7f,80,00,00,d8
1.213662632,0,316,8,45,1a,98,0d,1a,17,00,00
1.214619706,0,329,8,84,72,80,90,49,20,00,14
1.215675138,0,440,8,ff,f0,00,00,ff,84,0c,00
1.216687379,0,153,8,00,80,10,ff,00,ff,00,00
1.21763034,0,0A1,8,80,80,80,80,63,43,0d,00
1.218974862,0,2B0,5,d9,ff,00,07,cf,00,31,00
1.219925093,0,1F1,8,00,00,00,00,00,00,00,00
1.220871048,0,350,8,27,13,33,7f,80,00,00,f8
1.221814437,0,2A0,8,00,00,64,00,00,00,00,00
1.222758253,0,440,8,ff,50,00,00,ff,84,0c,00
1.223701642,0,350,8,27,13,43,7f,80,00,00,88
1.224642893,0,429,8,55,02,00,00,00,00,2d,03
1.225587993,0,2B0,5,d9,ff,00,07,21,00,2e,00
1.226530526,0,440,8,ff,a0,00,00,ff,84,0c,00
1.227470922,0,1F1,8,00,00,00,00,00,00,00,00
1.228411745,0,260,8,15,1a,00,30,00,61,00,00
1.229403885,0,370,8,ff,20,00,00,ff,00,00,6c
1.230345564,0,350,8,27,13,63,7f,80,00,00,a8
1.23129665,0,690,8,00,00,01,00,00,00,00,00
1.23236534,0,429,8,55,02,00,00,00,00,2d,03
1.233375442,0,440,8,ff,00,00,00,ff,84,0c,00
1.234320114,0,4D0,8,00,ff,fa,00,00,00,00,00
1.2356548,0,316,8,45,1a,92,0d,1a,17,00,00
1.23660332,0,545,8,dc,13,00,8a,30,00,34,00
1.237547137,0,440,8,ff,50,00,00,ff,80,0c,00
1.238489243,0,4F0,8,80,00,00,00,00,63,c6,14
1.239429211,0,220,8,fd,03,ec,03,00,00,da,0f
1.240369606,0,440,8,ff,a0,00,00,ff,84,0c,00
1.241317699,0,350,8,27,13,93,7f,80,00,00,58
1.242260661,0,1F1,8,00,00,00,00,00,00,00,00
1.243204905,0,2B0,5,d9,ff,00,07,56,00,36,00
1.244144873,0,220,8,ff,03,e4,03,00,00,cd,0f
1.245133164,0,350,8,27,13,a3,7f,80,00,00,68
1.246071849,0,260,8,16,1a,00,30,00,61,00,00
1.247013528,0,370,8,ff,20,00,00,ff,00,00,20
1.247968035,0,350,8,27,13,b3,7f,80,00,00,78
1.249034159,0,430,8,00,00,00,00,00,00,00,00
1.250046827,0,2A0,8,00,00,64,00,00,00,00,00
1.25099492,0,440,8,ff,50,00,00,ff,88,0c,00
1.252331316,0,4F0,8,80,00,00,00,00,63,c6,14
1.253278982,0,0A0,8,44,4e,92,0d,00,ae,00,00
1.254221943,0,220,8,fd,03,e7,03,00,00,c7,0f
1.255163194,0,440,8,ff,a0,00,00,ff,80,0c,00
1.256105727,0,350,8,27,13,d3,7f,80,00,00,18
1.257046551,0,260,8,16,1a,00,30,00,61,00,00
1.257987801,0,440,8,ff,f0,00,00,ff,7c,0c,00
1.258929052,0,220,8,ff,03,f9,03,00,00,d4,0f
1.25986902,0,429,8,55,02,00,00,00,00,2d,03
1.260862871,0,2B0,5,d9,ff,00,07,8b,00,36,00
1.261803267,0,440,8,ff,00,00,00,ff,78,0c,00
1.419114445,0,350,8,27,13,f3,7f,80,00,00,38
1.421413903,0,0A1,8,80,80,80,80,63,8f,0b,00
1.423716781,0,370,8,ff,20,00,00,ff,00,00,e4
1.426012389,0,350,8,27,13,03,7f,80,00,00,c8
1.428308425,0,690,8,00,00,01,00,00,00,00,00
1.430604889,0,545,8,dc,14,00,89,34,00,35,00
1.432692661,0,153,8,00,80,10,ff,00,ff,00,00
1.43508449,0,440,8,ff,00,00,00,ff,84,0c,00
1.436509409,0,350,8,27,13,33,7f,80,00,00,f8
1.437862484,0,316,8,45,1a,98,0d,1a,17,00,00
1.439225394,0,2B0,5,d9,ff,00,07,30,00,30,00
